sale,instrspending,discount,tvspending,stockrate,price,radio,onlineadsspending,revenue,location,cuisine,name,month,year,month_num,rating,service_quality_score
240368,59.9,0.46,46.3,0.45,12.56,1065,1081.6,12.56,Main Location,General,Main Location - General,1943-12-01,1943,12,4.5,8.5
207276,7.28,0.39,166.91,0.05,5.44,1832,651.24,5.44,Main Location,General,Main Location - General,1944-01-01,1944,1,4.5,8.5
172572,9.81,0.41,73.67,0.06,3.54,587,1066.56,3.54,Main Location,General,Main Location - General,1944-02-01,1944,2,4.5,8.5
82697,46.94,0.27,33.95,0.88,28.9,1407,1855.27,28.9,Main Location,General,Main Location - General,1944-03-01,1944,3,4.5,8.5
141762,2.59,0.26,82.63,0.36,4.66,2057,1608.91,4.66,Main Location,General,Main Location - General,1944-04-01,1944,4,4.5,8.5
271990,57.08,0.17,160.76,0.93,15.6,1723,2916.29,15.6,Main Location,General,Main Location - General,1944-05-01,1944,5,4.5,8.5
186979,40.09,0.25,42.25,0.61,10.6,1345,1797.1,10.6,Main Location,General,Main Location - General,1944-06-01,1944,6,4.5,8.5
176084,38.61,0.07,132.34,0.18,20.88,847,1610.31,20.88,Main Location,General,Main Location - General,1944-07-01,1944,7,4.5,8.5
98234,4.94,0.41,33.06,0.04,9.76,281,1073.3,9.76,Main Location,General,Main Location - General,1944-08-01,1944,8,4.5,8.5
262918,51.77,0.24,197.89,0.76,18.66,2577,1281.06,18.66,Main Location,General,Main Location - General,1944-09-01,1944,9,4.5,8.5
161146,0.31,0.38,75.81,0.48,0.8,1240,2366.6,0.8,Main Location,General,Main Location - General,1944-10-01,1944,10,4.5,8.5
192936,21.28,0.08,50.18,0.67,2.24,2888,2197.37,2.24,Main Location,General,Main Location - General,1944-11-01,1944,11,4.5,8.5
231571,32.4,0.15,47.63,0.95,0.6,1502,1630.43,0.6,Main Location,General,Main Location - General,1944-12-01,1944,12,4.5,8.5
261538,24.26,0.34,152.49,0.13,3.87,1978,969.81,3.87,Main Location,General,Main Location - General,1945-01-01,1945,1,4.5,8.5
294432,41.37,0.22,100.07,0.69,0.34,915,2986.22,0.34,Main Location,General,Main Location - General,1945-02-01,1945,2,4.5,8.5
176874,13.71,0.3,33.98,0.44,0.43,1230,1605.98,0.43,Main Location,General,Main Location - General,1945-03-01,1945,3,4.5,8.5
213508,56.23,0.47,107.11,0.63,19.8,1743,2343.1,19.8,Main Location,General,Main Location - General,1945-04-01,1945,4,4.5,8.5
288236,56.22,0.21,40.89,0.17,3.83,2562,538.36,3.83,Main Location,General,Main Location - General,1945-05-01,1945,5,4.5,8.5
45266,12.15,0.03,96.8,0.16,26.78,1632,1506.24,26.78,Main Location,General,Main Location - General,1945-06-01,1945,6,4.5,8.5
